,Video URL,Video Type,Selling Point,Hook Type,Price Range,Category,Price Range Labels
108,https://www.tiktok.com/@faithsummers_/video/7292165185714818346,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
109,https://www.tiktok.com/@itstiffslife/video/7293285109271153963,Faceless,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
110,https://www.tiktok.com/@adifishy/video/7275109510036016430,Show Face,Sell Benefit,Review Feedback,0,Home Appliances,Less than $50
111,https://www.tiktok.com/@ariesismygod/video/7304015076363668778,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
112,https://www.tiktok.com/@dollskill/video/7301509715052268843,Show Face,Sell Why,Review Feedback,0,Clothing,Less than $50
113,https://www.tiktok.com/@halessbalesss/video/7283158601982659883,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
114,https://www.tiktok.com/@themaneattraction.lg/video/7308880627414207786,Show Face,Sell Benefit,Review Feedback,0,Beauty,Less than $50
115,https://www.tiktok.com/@themaneattraction.lg/video/7311130574259752235,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
116,https://www.tiktok.com/@modernshaman/video/7296210706154851630,Show Face,Sell Benefit,Review Feedback,50,Health Wellness,Between $50 and $100
117,https://www.tiktok.com/@alisonistoxinfree/video/7296264377718672671,Show Face,Sell Benefit,Question,50,Health Wellness,Between $50 and $100
118,https://www.tiktok.com/@apositivemessage85/video/7296237228882169131,Faceless,Sell Benefit,Question,0,Health Wellness,Less than $50
119,https://www.tiktok.com/@tiktokwanderingmerchant/video/7301128276548996398,Faceless,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
120,https://www.tiktok.com/@stellarhealth/video/7304088000139414814,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
121,https://www.tiktok.com/@superjuliet519/video/7301525784659758379,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
122,https://www.tiktok.com/@daisycabral1/video/7305456898260733215,Show Face,Sell How To,Review Feedback,0,Health Wellness,Less than $50
123,https://www.tiktok.com/@ryse_supps/video/7301487946866101546,Show Face,Sell Why,Question,100,Health Wellness,Between $100 and $150
124,https://www.tiktok.com/@_keepingupwithmeee_/video/7295802538740157726,Show Face,Sell How To,Review Feedback,0,Health Wellness,Less than $50
125,https://www.tiktok.com/@ashleymaganaa_/video/7301227890077879598,Show Face,Sell Benefit,Question,0,Beauty,Less than $50
126,https://www.tiktok.com/@drchrispharmd/video/7286942667836034350,Faceless,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
127,https://www.tiktok.com/@therealamandayoung/video/7273931740203191595,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
128,https://www.tiktok.com/@loganpolk.fit/video/7299273636958047518,Show Face,Sell How To,Question,0,Health Wellness,Less than $50
129,https://www.tiktok.com/@soy_yo_astrid/video/7290959144809549102,Show Face,Sell Benefit,Question,0,Health Wellness,Less than $50
130,https://www.tiktok.com/@davidso4/video/7297634815296245022,Show Face,Sell Why,Review Feedback,0,Health Wellness,Less than $50
131,https://www.tiktok.com/@ryse_supps/video/7299173517780618538,Show Face,Sell Why,Review Feedback,100,Health Wellness,Between $100 and $150
132,https://www.tiktok.com/@ryse_supps/video/7299604100377775406,Show Face,Sell Why,Question,100,Health Wellness,Between $100 and $150
133,https://www.tiktok.com/@jaylanefit/video/7302287923511086382,Show Face,Sell Benefit,Review Feedback,100,Health Wellness,Between $100 and $150
134,https://www.tiktok.com/@stellar.health/video/7300599540330106142,Faceless,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
135,https://www.tiktok.com/@kachi1k/video/7292272173085887786,Show Face,Sell How To,Question,0,Beauty,Less than $50
136,https://www.tiktok.com/@crashbrando7/video/7296872344176512302,Show Face,Sell Benefit,Review Feedback,0,Health Wellness,Less than $50
137,https://www.tiktok.com/@betterbrandhealth/video/7297361060670082347,Faceless,Sell Why,Review Feedback,0,Health Wellness,Less than $50
138,https://www.tiktok.com/@drchrispharmd/video/7290679716489710894,Show Face,Sell Benefit,Question,50,Health Wellness,Between $50 and $100
